+==============+===============+===========================+
| Launch Clock | Capture Clock | Pin                       |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[727][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[503][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[958][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[815][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[503][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[934][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[950][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[942][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[206][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[448][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[958][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[402][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[942][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[983][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[174][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[695][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[978][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[254][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[515][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[854][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[727][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[503][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[702][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[515][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[806][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[458][1]/D  |
